"source_associate_id","kwuid","growth_share_sponsor_source_id","proposed_growth_share_sponsor","temporary_growth_share_sponsor","vested","vesting_start_period","listing_approval_required","exclude_from_individual_reports","source_market_center_id","source_team_id"
"307","422840","99","","false","true","2015-10-05T00:00:00","true","false","58",""
"308","422838","676","","false","false","2015-10-12T00:00:00","true","false","40",""
"309","422837","22","","false","false","2015-10-09T00:00:00","false","false","71",""
"310","422836","134","","false","true","2015-10-09T00:00:00","true","false","40",""
"311","423078","713","","false","true","2015-10-20T00:00:00","false","false","28",""
"312","423443","138","","false","true","2015-10-14T00:00:00","true","false","60",""
"313","423639","918","","false","true","2015-10-19T00:00:00","true","false","60",""
"314","424040","774","","false","true","2015-10-20T00:00:00","true","false","45",""
"315","425085","151","","false","true","2015-11-01T00:00:00","true","false","54","62"
"316","426285","221","","false","true","2015-11-10T00:00:00","true","false","56",""
"317","427466","702","","false","false","2015-11-16T00:00:00","true","false","33",""
"318","425335","155","","false","true","2015-10-21T00:00:00","true","false","57",""
"319","425082","32","","false","true","2015-11-01T00:00:00","true","false","31",""
"320","425083","195","","false","true","2015-11-01T00:00:00","true","false","50",""
"321","425349","","","false","true","2015-11-01T00:00:00","true","false","26",""
"322","425350","","","false","true","2015-11-01T00:00:00","true","false","26",""
"323","425351","739","","false","false","2019-02-19T00:00:00","false","false","26",""
"324","425347","261","","false","true","2015-11-01T00:00:00","false","false","31",""
"325","425346","102","","false","true","2015-11-02T00:00:00","true","false","40",""
"326","425555","244","","false","true","2015-11-01T00:00:00","true","false","40",""
"327","425766","56","","false","true","2015-11-01T00:00:00","false","false","28",""
"328","425765","189","","false","true","2015-11-03T00:00:00","false","false","28",""
"329","426119","32","","false","true","2015-11-01T00:00:00","true","false","31","53"
"330","426120","32","","false","true","2015-11-01T00:00:00","true","false","31","53"
"331","426286","805","","false","true","2015-11-10T00:00:00","true","false","56",""
"332","426118","93","","false","true","2015-11-01T00:00:00","true","false","43",""
"333","426117","50","","false","true","2015-11-01T00:00:00","true","false","43",""
"334","426291","716","","false","true","2015-11-10T00:00:00","true","false","45",""
"335","426290","185","","false","true","2015-11-01T00:00:00","true","false","60",""
"336","426287","65","","false","true","2015-11-10T00:00:00","true","false","58",""
"337","426289","50","","false","false","2015-11-01T00:00:00","false","false","72",""
"338","426473","102","","false","false","2015-11-11T00:00:00","false","false","234",""
